매출일,영업소,영업담당,기간,전표번호,상품코드,상품명,대분류,중분류,소분류,거래처코드,거래처명,매출수량,매출금액,매출이익,단가
2025-09-20,대구,김민수,31,658967,376382,N볶음냄비20cm,냄비,N볶음냄비,20cm,3022,전상기획,1,40600,6090,40600
2025-01-28,대구,박지훈,31,635301,150987,Q프라이팬26cm,프라이팬,Q프라이팬,26cm,3011,가납기획,1,19100,2865,19100
2025-01-01,대구,조현우,31,473308,260996,SP프라이팬26cm,프라이팬,SP프라이팬,26cm,3007,청주식당,1,49800,7470,49800
2025-01-01,대구,김민수,31,707516,133268,Q프라이팬24cm,프라이팬,Q프라이팬,24cm,3003,밀양서비스,2,37600,5640,18800
2025-01-01,대구,김태호,31,988373,607167,N오코노미야키플레이트,플레이트,N오코노미야키플레이트,,3006,수도상사,1,59600,8940,59600
2025-01-01,대구,김민수,31,830851,883242,계란말이,프라이팬,계란말이,,3007,청주식당,2,114400,17160,57200
2025-01-01,대구,박지훈,31,165362,315660,P온도계포함양손튀김20M,냄비,P온도계포함양손튀김,20M,3001,수원상사,3,78000,11700,26000
2025-01-01,대구,강서연,31,488518,853595,P계란후라이커버16-18cm,기타,P계란후라이커버,16-18cm,3017,송야기업,2,48400,7260,24200
2025-03-04,대구,정민호,31,670395,651031,식재료냄비22cm,냄비,식재료냄비,22cm,3011,가납기획,2,85800,12870,42900
2025-03-04,대구,최수진,31,609787,254914,프라이팬26cm,프라이팬,프라이팬,26cm,3011,가납기획,1,50700,7605,50700
2025-03-04,대구,최수진,31,114085,114412,P온도계포함튀김냄비22cm,냄비,P온도계포함튀김냄비,22cm,3003,밀양서비스,2,90800,13620,45400
2025-03-04,대구,박지훈,31,829583,868131,식재료냄비24cm,냄비,식재료냄비,24cm,3011,가납기획,1,40700,6105,40700
2025-06-13,대구,박지훈,31,5095,928344,가벼운볶음팬22cm,프라이팬,가벼운볶음팬,22cm,3026,천상의맛,3,65100,9765,21700
2025-07-24,대구,김민수,31,173626,181175,온도계포함튀김냄비21cm,냄비,온도계포함튀김냄비,21cm,3001,수원상사,16,646400,96960,40400
2025-07-24,대구,박지훈,31,7617,188249,P양손튀김20cm,냄비,P양손튀김,20cm,3016,대구산업,1,13100,1965,13100
2025-07-24,대구,이영희,31,79420,41304,SS튀김배트M,기타,SS튀김배트M,,3001,수원상사,2,42600,6390,21300
2025-07-24,대구,강서연,31,145975,187605,P뚜껑포함한손튀김냄비16cm,냄비,P뚜껑포함한손튀김냄비,16cm,3007,청주식당,1,47000,7050,47000
2025-07-24,대구,강서연,31,202047,868131,식재료냄비24cm,냄비,식재료냄비,24cm,3016,대구산업,1,40700,6105,40700
2025-07-24,대구,이영희,31,396302,216060,SP볶음냄비28cm,냄비,SP볶음냄비,28cm,3016,대구산업,4,42400,6360,10600
2025-07-24,대구,최수진,31,7920,406850,P프라이팬커버24~28용,프라이팬,P프라이팬커버,24~28용,3001,수원상사,5,170500,25575,34100
2025-07-24,대구,김민수,31,432391,187605,P뚜껑포함한손튀김냄비16cm,냄비,P뚜껑포함한손튀김냄비,16cm,3001,수원상사,53,2491000,373650,47000
2025-07-24,대구,박지훈,31,787580,133268,Q프라이팬24cm,프라이팬,Q프라이팬,24cm,3001,수원상사,1,18800,2820,18800
2025-07-24,대구,김민수,31,435849,853595,P계란후라이커버16-18cm,기타,P계란후라이커버,16-18cm,3008,상마사무소,1,24200,3630,24200
2025-07-24,대구,이영희,31,699307,264751,SP계란후라이,프라이팬,SP계란후라이,,3009,등정기업,1,18800,2820,18800
2025-01-20,대구,김민수,31,198520,41304,SS튀김배트M,기타,SS튀김배트M,,3011,가납기획,4,85200,12780,21300
2025-01-20,대구,이영희,31,939448,778897,P프라이팬26cm,프라이팬,P프라이팬,26cm,3011,가납기획,1,47500,7125,47500
2025-04-12,대구,이영희,31,914993,695958,철계란,기타,철계란,,3013,지본산업,2,137000,20550,68500
