매출일,영업소,영업담당,기간,전표번호,상품코드,상품명,대분류,중분류,소분류,거래처코드,거래처명,매출수량,매출금액,매출이익,단가
2025-11-02,부산,최수진,30,861904,333847,식재료냄비26cm,냄비,식재료냄비,26cm,5003,밀양서비스,4,195600,29340,48900
2025-11-02,부산,이영희,30,448942,311907,N계란말이中,프라이팬,N계란말이中,,5022,전상기획,5,244500,36675,48900
2025-12-25,부산,김민수,30,435128,448664,계란말이,프라이팬,계란말이,,5006,수도상사,23,1414500,212175,61500
2025-12-25,부산,이영희,30,962493,333847,식재료냄비26cm,냄비,식재료냄비,26cm,5006,수도상사,4,195600,29340,48900
2025-12-25,부산,정민호,30,974341,868131,식재료냄비24cm,냄비,식재료냄비,24cm,5006,수도상사,5,203500,30525,40700
2025-12-25,부산,정민호,30,71114,651031,식재료냄비22cm,냄비,식재료냄비,22cm,5003,밀양서비스,4,171600,25740,42900
2025-12-25,부산,정민호,30,316378,187605,P뚜껑포함한손튀김냄비16cm,냄비,P뚜껑포함한손튀김냄비,16cm,5008,상마사무소,5,235000,35250,47000
2025-11-26,부산,김민수,30,534582,695958,철계란,기타,철계란,,5015,전천서비스,38,2603000,390450,68500
2025-11-26,부산,강서연,30,155526,20449,P플래티넘프라이팬24cm,프라이팬,P플래티넘프라이팬,24cm,5011,가납기획,5,344000,51600,68800
2025-11-26,부산,강서연,30,571787,692530,P프라이팬22cm,프라이팬,P프라이팬,22cm,5011,가납기획,5,140500,21075,28100
2025-11-26,부산,정민호,30,502813,89628,P볶음냄비28cm,냄비,P볶음냄비,28cm,5011,가납기획,4,264400,39660,66100
2025-07-17,부산,정민호,30,778942,853595,P계란후라이커버16-18cm,기타,P계란후라이커버,16-18cm,5001,수원상사,7,169400,25410,24200
2025-07-17,부산,김태호,30,354587,315660,P온도계포함양손튀김20M,냄비,P온도계포함양손튀김,20M,5001,수원상사,7,182000,27300,26000
2025-07-17,부산,김민수,30,860403,184817,P중화국자,국자,P중화국자,,5001,수원상사,7,314300,47145,44900
2025-07-17,부산,강서연,30,591071,171673,P오일포트1.6L,포트,P오일포트,1.6L,5001,수원상사,7,72100,10815,10300
2025-07-17,부산,이영희,30,783225,616780,PP볶음냄비28cm,냄비,PP볶음냄비,28cm,5001,수원상사,11,690800,103620,62800
