매출일,영업소,영업담당,기간,전표번호,상품코드,상품명,대분류,중분류,소분류,거래처코드,거래처명,매출수량,매출금액,매출이익,단가
2025-11-02,서울,정민호,30,867403,376382,N볶음냄비20cm,냄비,N볶음냄비,20cm,1022,전상기획,5,203000,30450,40600
2025-12-25,서울,정민호,30,141112,187605,P뚜껑포함한손튀김냄비16cm,냄비,P뚜껑포함한손튀김냄비,16cm,1008,상마사무소,1,47000,7050,47000
2025-11-26,서울,이영희,30,443943,150987,Q프라이팬26cm,프라이팬,Q프라이팬,26cm,1011,가납기획,5,95500,14325,19100
2025-11-26,서울,박지훈,30,80547,778897,P프라이팬26cm,프라이팬,P프라이팬,26cm,1029,도천식당,4,190000,28500,47500
2025-11-26,서울,김태호,30,128582,188249,P양손튀김20cm,냄비,P양손튀김,20cm,1029,도천식당,4,52400,7860,13100
2025-07-17,서울,박지훈,30,628377,406850,P프라이팬커버24~28용,프라이팬,P프라이팬커버,24~28용,1001,수원상사,6,204600,30690,34100
2025-07-17,서울,정민호,30,150158,320252,P오일포트1.2L,포트,P오일포트,1.2L,1006,수도상사,7,311500,46725,44500
2025-07-17,서울,강서연,30,902203,254914,프라이팬26cm,프라이팬,프라이팬,26cm,1006,수도상사,5,253500,38025,50700
2025-07-17,서울,강서연,30,447600,187605,P뚜껑포함한손튀김냄비16cm,냄비,P뚜껑포함한손튀김냄비,16cm,1003,밀양서비스,4,188000,28200,47000
2025-07-17,서울,김태호,30,23687,266272,프라이팬24cm,프라이팬,프라이팬,24cm,1009,등정기업,4,86400,12960,21600
2025-08-31,서울,이영희,30,925136,254914,프라이팬26cm,프라이팬,프라이팬,26cm,1011,가납기획,5,253500,38025,50700
2025-05-06,서울,박지훈,30,97376,651031,식재료냄비22cm,냄비,식재료냄비,22cm,1003,밀양서비스,4,171600,25740,42900
2025-12-12,서울,정민호,30,494836,695958,철계란,기타,철계란,,1015,전천서비스,18,1233000,184950,68500
2025-08-29,서울,이영희,30,551116,320252,P오일포트1.2L,포트,P오일포트,1.2L,1001,수원상사,57,2536500,380475,44500
2025-08-29,서울,김민수,30,961018,133268,Q프라이팬24cm,프라이팬,Q프라이팬,24cm,1001,수원상사,5,94000,14100,18800
2025-08-29,서울,조현우,30,942783,406850,P프라이팬커버24~28용,프라이팬,P프라이팬커버,24~28용,1001,수원상사,9,306900,46035,34100
2025-08-29,서울,정민호,30,628752,616780,PP볶음냄비28cm,냄비,PP볶음냄비,28cm,1001,수원상사,8,502400,75360,62800
2025-08-29,서울,강서연,30,564771,260996,SP프라이팬26cm,프라이팬,SP프라이팬,26cm,1016,대구산업,7,348600,52290,49800
2025-08-29,서울,정민호,30,380722,216060,SP볶음냄비28cm,냄비,SP볶음냄비,28cm,1016,대구산업,8,84800,12720,10600
2025-08-29,서울,이영희,30,654932,333847,식재료냄비26cm,냄비,식재료냄비,26cm,1016,대구산업,5,244500,36675,48900
2025-08-29,서울,이영희,30,267346,651031,식재료냄비22cm,냄비,식재료냄비,22cm,1003,밀양서비스,5,214500,32175,42900
2025-08-29,서울,정민호,30,738163,51830,P볶음냄비28cm,냄비,P볶음냄비,28cm,1008,상마사무소,4,276400,41460,69100
2025-08-29,서울,최수진,30,289787,187605,P뚜껑포함한손튀김냄비16cm,냄비,P뚜껑포함한손튀김냄비,16cm,1017,송야기업,6,282000,42300,47000
2025-08-24,서울,임동현,30,261337,311907,N계란말이中,프라이팬,N계란말이中,,1023,정택상사,9,440100,66015,48900
2025-11-26,서울,박지훈,30,910989,129000,프라이팬커버세트,프라이팬,프라이팬커버세트,,1013,지본산업,23,501400,75210,21800
2025-07-01,서울,박지훈,30,410018,188249,P양손튀김20cm,냄비,P양손튀김,20cm,1007,청주식당,5,65500,9825,13100
2025-07-01,서울,임동현,30,640488,320252,P오일포트1.2L,포트,P오일포트,1.2L,1003,밀양서비스,6,267000,40050,44500
2025-07-01,서울,최수진,30,2442,868131,식재료냄비24cm,냄비,식재료냄비,24cm,1009,등정기업,6,244200,36630,40700
2025-01-05,서울,박지훈,30,122199,150987,Q프라이팬26cm,프라이팬,Q프라이팬,26cm,1001,수원상사,14,267400,40110,19100
2025-01-05,서울,박지훈,30,839360,133268,Q프라이팬24cm,프라이팬,Q프라이팬,24cm,1006,수도상사,5,94000,14100,18800
2025-01-05,서울,김민수,30,268346,260996,SP프라이팬26cm,프라이팬,SP프라이팬,26cm,1006,수도상사,7,348600,52290,49800
2025-01-05,서울,김민수,30,356787,150987,Q프라이팬26cm,프라이팬,Q프라이팬,26cm,1007,청주식당,6,114600,17190,19100
2025-01-05,서울,강서연,30,506661,448664,계란말이,프라이팬,계란말이,,1017,송야기업,23,1414500,212175,61500
2025-04-14,서울,김태호,30,594166,129787,N볶음냄비28cm,냄비,N볶음냄비,28cm,1018,소궁서비스,23,1416800,212520,61600
2025-04-14,서울,정민호,30,156679,479335,N프라이팬24cm,프라이팬,N프라이팬,24cm,1022,전상기획,7,146300,21945,20900
2025-12-19,서울,최수진,30,221040,260996,SP프라이팬26cm,프라이팬,SP프라이팬,26cm,1003,밀양서비스,5,249000,37350,49800
2025-02-17,서울,이영희,30,638520,72745,PP프라이팬26cm,프라이팬,PP프라이팬,26cm,1016,대구산업,43,1023400,153510,23800
2025-02-17,서울,한소영,30,247787,72745,PP프라이팬26cm,프라이팬,PP프라이팬,26cm,1007,청주식당,63,1499400,224910,23800
2025-02-17,서울,김민수,30,42622,613410,볶음냄비28cm,냄비,볶음냄비,28cm,1008,상마사무소,23,322000,48300,14000
2025-02-12,서울,김민수,30,789146,360707,P플래티넘미니프라이팬18cm,프라이팬,P플래티넘미니프라이팬,18cm,1011,가납기획,6,408000,61200,68000
2025-02-12,서울,박지훈,30,875365,133268,Q프라이팬24cm,프라이팬,Q프라이팬,24cm,1011,가납기획,6,112800,16920,18800
2025-02-12,서울,박지훈,30,326833,970492,가벼운프라이팬26cm,프라이팬,가벼운프라이팬,26cm,1011,가납기획,5,135500,20325,27100
2025-02-12,서울,박지훈,30,829414,225612,가벼운프라이팬24cm,프라이팬,가벼운프라이팬,24cm,1011,가납기획,5,160500,24075,32100
2025-02-12,서울,임동현,30,166893,928344,가벼운볶음팬22cm,프라이팬,가벼운볶음팬,22cm,1011,가납기획,6,130200,19530,21700
2025-09-18,서울,정민호,30,555145,315660,P온도계포함양손튀김20M,냄비,P온도계포함양손튀김,20M,1001,수원상사,5,130000,19500,26000
2025-09-18,서울,강서연,30,822096,677692,P계란말이,프라이팬,P계란말이,,1001,수원상사,24,981600,147240,40900
2025-09-18,서울,박지훈,30,380166,728712,SP프라이팬22cm,프라이팬,SP프라이팬,22cm,1006,수도상사,4,47200,7080,11800
2025-09-18,서울,최수진,30,431587,476365,철후판튀김냄비33cm,냄비,철후판튀김냄비,33cm,1007,청주식당,2,111200,16680,55600
